iso3,name,population,gdp_per_capita,gdp_growth,military_expenditure,literacy_rate,human_capital_index,health_expenditure,tertiary_enrollment,science_investment,male_population_pct,life_expectancy
CPV,Cabo Verde,524877,0.01728063810395111,0.4802917147330663,0.01614096151021417,0.8209349450444238,0,0.17549859371358423,0,0,50.8589631475565,0.6775783064465509
KHM,Cambodia,17638801,0.008369025148284049,0.46226339684729306,0.04219968506439425,0.5640627432691534,0.3403575738087016,0.12772311135172454,0.11613452605061346,0,48.9998554890437,0.5078777226790532
CMR,Cameroon,29123744,0.005596539944056362,0.4274453173326147,0.02733508153859915,0,0.18003526704506662,0.12529651975904088,0.08671341475984654,0,49.8367963954085,0.29291946519364775
CAN,Canada,41288599,0.18806221822728872,0.3994541778206514,0.036166215123905034,0,0.861095364327974,0.38749310062077386,0.4534089909959411,0.281508880406322,49.6571548342665,0.8622512328318312
CYM,Cayman Islands,74457,0.3437466216040841,0.4599967765218356,0,0,0,0,0,0,50.197426737221,0.813037474107087
CAF,Central African Republic,5330690,0.0010311143862698855,0.3986755805696704,0.07123011435546074,0,0.0,0.36210668124674655,0,0,47.9855793500615,0.09528592053229556
TCD,Chad,20299123,0.0025788093165106914,0.43702994043649285,0.08474702745307892,0,0.01387397700230744,0.14247320578779615,0,0,50.1566397720729,0.018925365639319614
CHI,Channel Islands,168126,0.25841121186311466,0.43014908792775536,0,0,0,0,0,0,49.3769516728625,0.8337518046575859
CHL,Chile,19764771,0.05730193020096828,0.41493535572959844,0.043860081501099185,0,0.6127252134515557,0.3572700818129818,0.6620268732477724,0.06087889207861448,49.7018078427619,0.8387420751992968
CHN,China,1408975000,0.04546400725314721,0.448086107227202,0.04773923126983718,0.9493709866884298,0.6152758118605968,0.1792237770914403,0.45715616085800875,0.40556484431685547,50.9415122711914,0.7338522377754063
COL,Colombia,52886363,0.026755612960251484,0.4000727950796102,0.09562032648769996,0.9276284561844774,0.5322581962450099,0.26452015407301627,0.3489680877697358,0.044687529575065464,49.3421546117664,0.7305881614462368
COM,Comoros,866628,0.005015364961743132,0.4247935643774765,0,0.6213728495903217,0.19243843954714016,0.2028323457094358,0,0,50.2885897986218,0.38880170736300285
COD,"Congo, Dem. Rep.",109276265,0.0014940423477411962,0.46441817003166325,0.03371129077245572,0.5107935968537364,0.1272138856850003,0.09154287865179028,0,0,49.6144633934411,0.23347561358357918
COG,"Congo, Rep.",6332961,0.007862979952976678,0.41401684174091835,0.032473637898423384,0,0.21725132844935335,0.07650166436491244,0.0480770856517752,0.05951291838859271,49.9939128000315,0.35672588035904856
CRI,Costa Rica,5129910,0.06382514488229392,0.43876297875363324,0,0,0.5736284154518986,0.21502999059010572,0,0.05225559165904288,49.4107693897164,0.8273491933965224
CIV,Cote d'Ivoire,31934230,0.008716558425348513,0.462894644642161,0.020164302594854206,0.2234818997678356,0.15022699970745265,0.08173167114254522,0.06009994655767993,0,50.8754430590623,0.234605486159061
HRV,Croatia,3866200,0.0828092592844314,0.4317388315081421,0.05012021041395234,0,0.7116024986733388,0.22592243580292834,0.4836207317099049,0.21769140982365376,48.2385606368498,0.7624840968138505
CUB,Cuba,10979783,0.032614458292200464,0.36227535528840166,0,0,0,0.31274548481608805,0.24939031155176852,0.06818827092337298,49.335036949273,0.741604419057184
CUW,Curacao,155967,0.07857847222574228,0.4487900804401943,0,0,0,0,0,0,47.5943757345726,0.7015880986755384
CYP,Cyprus,1358282,0.13362499043357812,0.43335707399555756,0.045881064505655454,0,0.7896054592545708,0.26365595604872105,0.7278562714108234,0.10652701977980378,50.3760262036704,0.8532421065846463
CZE,Czechia,10905028,0.10981882835105448,0.3948829424084558,0.05371111896316086,0,0.784051668184191,0.27871519762078156,0.39472807579078895,0.28827407804662614,49.3118249783273,0.7954004387824931
DNK,Denmark,5976992,0.2460440760559859,0.4267790874912657,0.0682220535436217,0,0.7888813693243667,0.3129123202683423,0.46998092438067707,0.4798763367929588,49.7053993090322,0.8668212458911997
DJI,Djibouti,1168722,0.011582720326547254,0.47654899585824484,0,0,0,0.037132235138916794,0,0,49.5680752137805,0.3630343355721549
DMA,Dominica,66205,0.035394338925551404,0.4065295634368538,0,0,0.43084269021982957,0.1428807255258307,0,0,49.9992447700325,0.5228485343041868
DOM,Dominican Republic,11427557,0.03702885064829737,0.44774743689533975,0.020747251636362523,0.9072837198743184,0.35938251169112984,0.12701421797783793,0.3388836772032139,0,49.7148559648527,0.6036344234511328
ECU,Ecuador,18135478,0.02312611876847349,0.3489254795644451,0.062578071673461,0.8988973101733392,0.5151083134340504,0.24201846713091252,0.40184496810908577,0,49.8532792933982,0.7201054547737115
EGY,"Egypt, Arab Rep.",116538258,0.010838234464065474,0.41145207500187025,0.017342836048200038,0.6809001670306788,0.34509768949163183,0.1381032418779716,0.21823479599962095,0.15954446512508286,50.4899815818424,0.5389178331554829
SLV,El Salvador,6338193,0.01862602491377377,0.4143344280784851,0.032478227842260586,0.8411243445581051,0.43327215042280987,0.30900195936258584,0.18621250769795572,0.015052525316256034,47.5014483625614,0.5544849664176764
GNQ,Equatorial Guinea,1892516,0.022676800869923575,0.3902530402054693,0.026552188272702983,0,0,0.08434133920175005,0,0,52.7207417423463,0.29097357353587344
ERI,Eritrea,3535603,0,0,0,0,0,0.09149695922368409,0,0,49.3650869074064,0.4474923105894169
EST,Estonia,1372341,0.10844642481042928,0.3760823108898482,0.09605529285242034,0,0.8265130443476933,0.25268492384307895,0.38821267297114254,0.2890769424902994,47.5466467138928,0.773966541686633
SWZ,Eswatini,1242822,0.012822671269979097,0.4196187036019707,0.03997387573003717,0.8563441514570495,0.13765064218213915,0.2395327779954203,0,0,49.0972553569661,0.30220952859205313
ETH,Ethiopia,132059767,0.0031776064479487427,0.48553334109178503,0.016914011628693302,0.385929472117934,0.15515556950910755,0.05731388414907241,0,0,50.10404909995,0.4070052099679868
FRO,Faroe Islands,54681,0.25679241138073594,0.3893503086093611,0,0,0,0,0,0,51.6696750902527,0.8928581489380263
FJI,Fiji,928784,0.02156603436677835,0.427532503408039,0.036161716346504606,0,0.36926582688670595,0.08883710518054821,0.4456714262715844,0,49.6318842701855,0.4026112610633355
FIN,Finland,5619911,0.18392512663106292,0.3832752290352633,0.06484011906049812,0,0.8585096622176777,0.355056430248687,0.6628118400502772,0.4870358686393893,49.4267096836903,0.8694239333956969
FRA,France,68551653,0.1594389429964027,0.39427737190062895,0.05765637350200319,0,0.8018898270336138,0.3962552011783175,0.4242973959937596,0.3426338370295593,48.4784209586835,0.8896330363717938
PYF,French Polynesia,281807,0.07721281520200902,0.3933668591814541,0,0,0,0,0,0,50.5771680618295,0.9276567698198479
GAB,Gabon,2538952,0.02783571608357389,0.42558839835621715,0.042709440964649216,0.8269917767472551,0.28252305925104065,0.0701695889838249,0,0,50.7589351827053,0.43550310714958246
GMB,"Gambia, The",2759988,0.0022653099969838996,0.456240837188469,0.014703628736048618,0.24895168397646933,0.22117462361552917,0.060783863676579515,0.06712006979522958,0,49.7949446863337,0.358483459920909
GEO,Georgia,3699557,0.031350348960602785,0.5149040755621933,0.052177427005024625,0.9950302888980045,0.4719945765796129,0.21468913850389093,0.5347358041862982,0.04073630082967917,46.6135843215364,0.628397464063775
DEU,Germany,83516593,0.19418971940340304,0.3703160808596729,0.05298741985386758,0,0.7821879254326358,0.4246386248855798,0.4561343146278773,0.4965156629546674,49.3813487450912,0.8209680160325561
GHA,Ghana,34427414,0.007545112207237037,0.45679775338928097,0.009169508250603562,0.6348811560944033,0.269661560244876,0.06289417275338642,0.11543975997707043,0,49.9434607548508,0.3471219634674532
GIB,Gibraltar,39329,0,0,0,0,0,0,0,0,49.7724325561291,0.9100182035026049
GRC,Greece,10405134,0.08480976096800855,0.4070103447116857,0.08890606921247556,0,0.6780915517717964,0.27431228861827656,1.0,0.23474084355973376,48.4388200939567,0.8538078083687122
GRL,Greenland,56836,0.20251281955574596,0.3896663946470914,0,0,0,0,0,0,52.5787965616046,0.4908171060870726
GRD,Grenada,117207,0.039910992091293875,0.43367751105663194,0,0,0.46543231501655785,0.1291297744680542,0,0,50.129258491387,0.6506810620802211
GUM,Guam,167777,0.1446015582898472,0.4498268457313508,0,0,0,0,0,0,50.6553341638008,0.7151779549306383
GTM,Guatemala,18406359,0.020607962650715836,0.4292518882639611,0.008693755664088094,0.7221618332159129,0.28874889343444693,0.21254750331223712,0.15213116365231816,0.0,49.598027507776,0.5684200615152846
GIN,Guinea,14754785,0.005127245220208355,0.4533817416048489,0.057689107904149765,0,0.13499813143809886,0.09191080854012429,0,0,49.4840622889456,0.196754754880422
GNB,Guinea-Bissau,2201352,0.0027392841213458126,0.43627760244078034,0.03389529303754789,0.4398198472320073,0,0.290939827923632,0,0,49.4246263205521,0.30189567509886406
GUY,Guyana,831087,0.10235462496795808,1.0,0.023238809174995,0.7769839921343409,0.3465475941003672,0.04425780645095471,0.14682003085348402,0,48.6813053266385,0.49224781871822243
HTI,Haiti,11772557,0.006682830814040192,0.3181145014183084,0.0,0,0.2637185340592911,0.07239206904268258,0,0,49.4825040983025,0.32904400225974517
HND,Honduras,10825703,0.011143886369746078,0.42786089372940694,0.04378914394603037,0.8175182464454412,0.322371441698358,0.24776631314834635,0.12766378505390752,0,50.3428460950758,0.5777728956123281
HKG,"Hong Kong SAR, China",7524100,0.18713910676568332,0.41295567080085605,0,0,0.8870299991056666,0,0.7230115941380778,0.1766427963027225,45.0481320809197,0.9653406228996703
HUN,Hungary,9562065,0.0801749271073899,0.3853205877625378,0.060670718796136835,0,0.6663140570894748,0.19571246585555468,0.3565150150702838,0.21631439477586048,48.0178604370443,0.6932832290472194
ISL,Iceland,386506,0.2982156757824793,0.363569193813091,0,0,0.7721782977860159,0.2972099835159682,0.4549678006394417,0.415464210227452,51.2048927797944,0.8842745620978284
IND,India,1450935791,0.008601347215174152,0.46964730536081206,0.06400937651229463,0.6608562327712899,0.3436274429982093,0.07813185471638841,0.19612838484306702,0.10086911259030254,51.5752269426235,0.5523821480133074
IDN,Indonesia,283487931,0.016352675000570513,0.44883902685956434,0.020654168423973645,0.9378785519814268,0.4228241323336487,0.053405049841210736,0.26032397076117586,0.043312091864096666,50.2342076777865,0.5226602222082731
IRN,"Iran, Islamic Rep.",91567738,0.017272604304262536,0.42941183775583913,0.056431690534904815,0.8278741420811059,0.5136608437641292,0.18238854261707177,0.3452382281710958,0.11365658222656867,50.817086371808,0.7287364258364195
IRQ,Iraq,46042015,0.02034243044685731,0.355404923626022,0.06650660262185766,0.7525220378859407,0.1974682622211988,0.16326548619282857,0,0.0054591627496135536,50.195633271046,0.5583139790345869
IRL,Ireland,5395790,0.39153082912402476,0.4142981527104354,0.004958963255086909,0,0.8527189718917254,0.21455404487620786,0.46157059930854166,0.249566232373261,49.5018950462006,0.8905516319616156
IMN,Isle of Man,84160,0.3061661976110696,0.31817475570245035,0,0,0,0,0,0,49.5074915934934,0.8303308015818214
ISR,Israel,9974400,0.18749351247332427,0.3897517414403479,0.25305122069058344,0,0.7529669349005415,0.22402940705902571,0.3303025497314702,1.0,49.7911531251501,0.896445953662978
ITA,Italy,58952704,0.13957063114860574,0.3872041493215632,0.04477373759086268,0,0.7424551011232634,0.27628033258946927,0.45145854280902475,0.21660935676204301,48.8749456611188,0.9200997901009069
JAM,Jamaica,2839175,0.026180843976080198,0.3697592617678331,0.03502778670842143,0,0.4142103333629078,0.24369763049443519,0,0,49.4497873501986,0.5326407632916953
JPN,Japan,123975371,0.11212533103713983,0.3788438997051755,0.0378621600583667,0,0.8733408745417556,0.36537735222093864,0.38096266626331343,0.5418404366068331,48.7838993790868,0.9227713722746407
JOR,Jordan,11552876,0.015284732761602544,0.4127269948719651,0.13749838781969495,0.9136512251701052,0.4451833638284059,0.24583504570838458,0.20518358855074983,0,51.5661814426122,0.7327223651999245
KAZ,Kazakhstan,20592571,0.04842278965148431,0.44840785240779285,0.01046071143844749,0,0.5734094738700888,0.09472822549620408,0.30941735818928073,0.02465850657749456,48.7064291292233,0.6244429100495891
KEN,Kenya,56432944,0.0066474262925999335,0.4444966216164892,0.027056668702486204,0,0.43425241620754207,0.11742393709201918,0.0483070863316451,0.12691252089971294,49.7157679791476,0.28871382838491005
KIR,Kiribati,134518,0.007190198907378102,0.45220025754576404,0,0.9783814509908958,0.3420649224692651,0.3733523609509302,0.014730849028833816,0,48.5280780267325,0.3755257046010921
PRK,"Korea, Dem. People's Rep.",26498823,0,0,0,0,0,0,0,0,49.469053776464,0.5997112547862656
KOR,"Korea, Rep.",51751065,0.12516145557673508,0.40583150060749085,0.07246108195919267,0,0.8632335449751708,0.2852930750586237,0.6723401936583829,0.7787990157418215,49.9136502686997,0.9099952386128584
XKX,Kosovo,1594353,0.023641648721566818,0.44234189592976336,0.040919122107245826,0,0,0,0,0,49.185892603826,0.7402862343857886
KWT,Kuwait,4897263,0.1129267739749398,0.3409845680648757,0.13868239775775754,0.9450225042850923,0.461206783069931,0.14115514240755897,0.30348326908444084,0.01316287580049844,61.1130836144151,0.9398495952820917
KGZ,Kyrgyz Republic,7221868,0.0076473182014914,0.505815029524429,0.08420519393106668,0,0.519129209064405,0.12331279914513966,0.3156610215794186,0.007350389602195654,49.4340599907403,0.5575607306509324
LAO,Lao PDR,7769819,0.006618044932492222,0.43604856788292645,0,0.621680372087908,0.28091092684373475,0.0,0.07577959272650046,0,50.2461446983328,0.4579122465633041
LVA,Latvia,1866124,0.08058064436477787,0.37670659091707615,0.09268417203414492,0,0.7063044776343512,0.23100116344420452,0.49432428256753846,0.12894886274014955,46.3603280566193,0.6840207235165058
LBN,Lebanon,5805962,0.011322111775142847,0.3665544373513672,0.07322337302119818,0,0.38041865830711563,0.1649042643852456,0.31889135753031944,0,48.6333614710812,0.7315924926244427
LSO,Lesotho,2337423,0.002614766959157619,0.4179222899437226,0.04355921509112467,0.8516849954607532,0.1851265211963208,0.4380402462510854,0,0.013949966875926688,48.7242782860776,0.09927185989580076
LBR,Liberia,5612817,0.0021963600024832637,0.43450916942533707,0.018677888516969443,0,0.04660868570068539,0.4533305847791524,0,0,49.9195323845406,0.24132195091331365
LBY,Libya,7381023,0.02206440662555123,0.40435856573036333,0.15164603685082306,0,0,0.25146915727152763,0,0,50.8462038392239,0.5174188688720104
LIE,Liechtenstein,40450,0.7177695595765967,0,0,0,0,0.1703241957775452,0.2673229039849416,0.9469935960124924,49.6839729119639,0.9279078526143997
LTU,Lithuania,2888278,0.10134265959547133,0.4167586785953554,0.08862127926635462,0,0.7053964483678067,0.24331920616743347,0.44941656835656874,0.16462348969999058,47.1997229907209,0.7080573081168635
LUX,Luxembourg,677012,0.4780085368331853,0.38245735446621326,0.025985348695868098,0,0.6715206664671035,0.1771849755213094,0.12208128129697562,0.16788542225306793,50.3334145573194,0.896369404030491
MAC,"Macao SAR, China",687000,0.24944338680460726,0.48889847661407315,0,0,0.8579489160996684,0,0.8569729154142696,0.048089845105523846,46.0512979998945,0.900656183449664
MDG,Madagascar,31964956,0.0011312822221737958,0.437040475991325,0.01860353450218905,0.6069265755784004,0.17082582116662845,0.0815782171961189,0.022025871928869466,0,50.156580850604,0.28874521373422896
MWI,Malawi,21655286,0.001053386083097177,0.40113994375477197,0.027795163847593823,0.5364187178588496,0.20699577198238772,0.20215214057617986,0.0008718233912151255,0,48.7966032866063,0.4056870252965918
MYS,Malaysia,35557673,0.04049941341623659,0.4499063455823057,0.026708259486859703,0.9343065165859649,0.5435704147020384,0.10212579750509414,0.22107434339540233,0.15868166188207833,52.3594274574717,0.6963153599899566
MDV,Maldives,527799,0.04572880213633914,0.42701451005053187,0,0,0,0.30754056656668427,0.28256715013070327,0,61.9184575946525,0.8364195593496955
MLI,Mali,24478595,0.0030411722616747456,0.4482980034085819,0.12000386682902395,0.000310614349327299,0.045341198591530386,0.09651971704293373,0,0.022294078677560808,50.4553978504323,0.189567509886385
MLT,Malta,568847,0.15177861038587262,0.47398307108012594,0.011120194562961946,0,0.7108439137765837,0.29175360862599836,0.4796064366398963,0.10123820940723684,51.8988819640961,0.8888675400469401
MHL,Marshall Islands,37548,0.026085410606548974,0.4129121848151414,0,0.9341967728056527,0.22428530867998328,0.4688388048860273,0.21605370946838737,0,51.2330883136252,0.39043374552758786
MRT,Mauritania,5169395,0.006569887909613628,0.46698785946598614,0.06063401811391348,0.3714862307141251,0.1530470139508295,0.11709811343633802,0,0,49.0526647702487,0.4418429477120079
MUS,Mauritius,1245779,0.04090372126942809,0.44734390929459683,0.0023580493707949955,0.9112871190723303,0.5620950233858113,0.16453444653043306,0.26583506714086746,0.04033565727625477,49.9157861779197,0.6011557463512616
MEX,Mexico,130861007,0.04853102688703467,0.3976443846463967,0.023968045558523002,0.9308899364742407,0.5469299200766848,0.16214894382662343,0.28076198717335904,0.039059591785229816,48.4938802282027,0.6474483711003702
FSM,"Micronesia, Fed. Sts.",113160,0.013713782722729335,0.3875780397936228,0,0,0.36482875963050004,0.4484836205491549,0,0,49.6787762568376,0.3992844140355282
MDA,Moldova,2402306,0.02556369350752896,0.3788261430475758,0.015381873278687392,0,0.49791439881284644,0.20996851315570422,0.4438378804512562,0.033092526578125496,46.0115454569418,0.5240411775783063
