iso3,name,population,gdp_per_capita,gdp_growth,military_expenditure,literacy_rate,human_capital_index,health_expenditure,tertiary_enrollment,science_investment,male_population_pct,life_expectancy
BEL,Belgium,11858610,56614.5679499036,1.07045413019414,1.2770531266155,,0.76041966676712,10.80371571,82.1475601196289,3.27235,49.3105960142478,82.3
BLZ,Belize,417072,7681.24400583113,3.50466435023895,0.898885869151742,87.879997253418,,4.14735794,24.8098643151325,,50.456995434841,73.739
BEN,Benin,14462724,1485.38018885134,7.45311566226201,0.720549619940377,51.3800010681152,0.400290727615356,3.33732462,10.2350101470947,,50.1466044709143,60.961
BMU,Bermuda,64636,142855.374713782,5.97253260071749,,,,,17.3357105255127,0.22546,48.9185593167894,82.49
BTN,Bhutan,791524,3831.32535494609,4.63215704523927,,64.9100036621094,0.475297033786774,4.41551638,13.011259392916,0.09979,53.4472063421875,73.262
BOL,Bolivia,12413315,4421.16609889999,-1.12335595517212,1.37066364312669,96.7300033569336,,6.91864729,,0.06308,50.1011655547962,68.739
BIH,Bosnia and Herzegovina,3164253,9358.78768951134,2.9715174617652,0.747079920408854,,0.57968407869339,8.9216938,45.5027618408203,0.21437,47.5876763291925,78.044
BWA,Botswana,2521139,7695.75319445165,-2.98986879467928,2.83392800595041,,0.414028495550156,6.25574684,21.4087908549348,,49.8411828309279,69.293
BRA,Brazil,211998573,10310.5488778166,3.41931516597739,0.972774559040702,94.7399978637695,0.551497936248779,9.73092747,69.7317733764648,1.1938,49.1961415230847,76.023
VGB,British Virgin Islands,39471,,,,,,,29.5605306799337,,47.3562868941755,77.431
BRN,Brunei Darussalam,462721,33153.4738913513,4.05251709306727,3.57781609529419,,0.626391351222992,2.2286067,36.4182725443167,,53.0988368826207,75.501
BGR,Bulgaria,6441421,17596.0173663521,3.38709063847314,2.14947328244853,,0.613898158073425,7.91853094,69.5460433959961,0.79224,48.3903518481469,75.7609756097561
BFA,Burkina Faso,23548781,981.992649769081,4.79980951667159,4.67973196943363,41.5670909952631,0.383691936731339,7.79943228,10.0419678526515,0.10477,49.8118607498197,61.292
BDI,Burundi,14047786,219.424830882698,4.11227376264944,3.80127919699841,71.3374789737041,0.386170625686646,9.09471226,6.38454008102417,,49.6775363747711,63.818
CPV,Cabo Verde,524877,5192.48157325878,7.24388538990945,0.623903407592831,88.4700012207031,,5.84791613,,,50.8589631475565,76.224
KHM,Cambodia,17638801,2627.87969756224,5.97510939607335,1.52066451977199,71.9300003051758,0.491589874029159,4.61706829,21.4437426836662,,48.9998554890437,70.817
CMR,Cameroon,29123744,1830.00833684727,3.52472308052245,1.00912763032385,,0.397401511669159,4.5545516,16.6614294830602,,49.8367963954085,63.968
CAN,Canada,41288599,54340.3477224733,1.55479521049516,1.31303419578919,,0.797520101070404,11.3095665,76.2666931152344,1.7908,49.6571548342665,82.1080487804878
CYM,Cayman Islands,74457,99143.5180243123,5.8155918263088,,,,,,,50.197426737221,80.54
CAF,Central African Republic,5330690,516.160999996036,1.49999999847535,2.51969119903231,,0.291631907224655,10.65553188,,,47.9855793500615,57.671
TCD,Chad,20299123,961.55975562506,4.19925854085865,2.98484990097129,,0.299782782793045,4.99707747,,,50.1566397720729,55.238
CHI,Channel Islands,168126,74585.5224096294,3.71500590367266,,,,,,,49.3769516728625,81.2
CHL,Chile,19764771,16709.8893972307,2.64431154871538,1.57780388625485,,0.651604175567627,10.53092575,110.176902770996,0.39205,49.7018078427619,81.359
CHN,China,1408975000,13303.1481543868,4.9773565917572,1.71129740345228,96.7399978637695,0.65310263633728,5.94388866,76.8757843123403,2.57729,50.9415122711914,78.017
COL,Colombia,52886363,7919.20886825345,1.5983315366523,3.35903368303836,95.3399963378906,0.60433030128479,8.14139366,59.2901382446289,0.2894,49.3421546117664,77.913
COM,Comoros,866628,1662.75663312504,3.3381010943571,,75.6201980162165,0.40468829870224,6.55212021,,,50.2885897986218,67.023
COD,"Congo, Dem. Rep.",109276265,649.383338556725,6.12675551779212,1.22855267131451,68.5,0.366369277238846,3.68495083,,,49.6144633934411,62.074
COG,"Congo, Rep.",6332961,2482.2489948456,2.57966943921721,1.18596121569308,,0.41926571726799,3.29744148,10.3812103271484,0.38339,49.9939128000315,66.001
CRI,Costa Rica,5129910,18587.1532203482,4.32122429646145,,,0.628635048866272,6.8663702,,0.33738,49.4107693897164,80.996
CIV,Cote d'Ivoire,31934230,2727.8935220697,6.01953461940062,0.762358993041457,50,0.379889339208603,3.43218303,12.3354902267456,,50.8754430590623,62.11
HRV,Croatia,3866200,24050.4397933135,3.82688702890739,1.79323424509814,,0.709693968296051,7.14699411,81.1775207519531,1.38621,48.2385606368498,78.9292682926829
CUB,Cuba,10979783,9605.27914559614,-1.06173273220524,,,,9.38383102,43.1040700506779,0.43839,49.335036949273,78.264
CUW,Curacao,155967,22832.8953958667,5.02690000000014,,,,,,,47.5943757345726,76.989
CYP,Cyprus,1358282,38674.29296875,3.94077381708404,1.64735214954921,,0.755520224571228,8.11912918,120.87727355957,0.68145,50.3760262036704,81.821
CZE,Czechia,10905028,31823.3078290564,1.23308611983484,1.91680849222604,,0.752257406711578,8.50710297,66.7282867431641,1.83369,49.3118249783273,79.9780487804878
DNK,Denmark,5976992,71026.4832271897,3.47783593140312,2.41617454160591,,0.755094826221466,9.38812923,78.9604110717773,3.04841,49.7053993090322,82.2536585365854
DJI,Djibouti,1168722,3552.72335079222,6.98048467276334,,,,2.28316021,,,49.5680752137805,66.202
DMA,Dominica,66205,10405.2787777582,2.052738472526,,,0.544749319553375,5.00757647,,,49.9992447700325,71.294
DOM,Dominican Republic,11427557,10875.6618443092,4.95352204492849,0.782420068931067,94.0299987792969,0.502766907215118,4.59880495,57.6509476207267,,49.7148559648527,73.868
ECU,Ecuador,18135478,6874.705739766,-2.00125476341026,2.22194770434425,93.4899978637695,0.594254851341248,7.56167889,67.8851161961618,,49.8532792933982,77.579
EGY,"Egypt, Arab Rep.",116538258,3338.47371395895,2.3991692678251,0.665263620234986,79.4531619498685,0.494374662637711,4.88449335,38.0398346509947,1.01757,50.4899815818424,71.806
SLV,El Salvador,6338193,5579.65969165029,2.60202016121069,1.18611916982816,89.7699966430664,0.546176612377167,9.28738594,32.8347079463918,0.10152,47.5014483625614,72.302
GNQ,Equatorial Guinea,1892516,6745.40013244916,0.907248245986736,0.982185856511218,,,3.49941635,,,52.7207417423463,63.906
ERI,Eritrea,3535603,,,,,,3.6837678,,,49.3650869074064,68.893
EST,Estonia,1372341,31428.3547816104,-0.0900428648493801,3.37400221824601,,0.77720320224762,7.83648062,65.6692276000977,1.83878,47.5466467138928,79.2951219512195
SWZ,Eswatini,1242822,3909.55892378182,2.97391075973985,1.4440675502379,90.75,0.37250080704689,7.49763966,,,49.0972553569661,64.264
ETH,Ethiopia,132059767,1133.88279681719,7.61277447511073,0.650506448320295,60.4599990844727,0.382784843444824,2.80310345,,,50.10404909995,67.603
FRO,Faroe Islands,54681,74119.6607553879,0.843716851362103,,,,,,,51.6696750902527,83.0832463414634
FJI,Fiji,928784,6425.74151715712,3.53085896076352,1.3128793789726,,0.508573293685913,3.61524153,75.0089752283697,,49.6318842701855,67.463
FIN,Finland,5619911,53149.7671934051,0.416171964862073,2.29979173712597,,0.796001017093658,10.47389507,110.304496765137,3.0938,49.4267096836903,82.3365853658537
FRA,France,68551653,46103.0840855884,1.19046798275883,2.05257687860637,,0.762737214565277,11.53530598,71.5346908569336,2.17832,48.4784209586835,82.9804878048781
PYF,French Polynesia,281807,22439.8838746025,1.12638897730247,,,,,,,50.5771680618295,84.192
GAB,Gabon,2538952,8230.04311451151,3.39403899592401,1.538206793748,88.8600006103516,0.457612454891205,3.13430715,,,50.7589351827053,68.511
GMB,"Gambia, The",2759988,871.340291776294,5.55126069510321,0.574440350261863,51.6399993896484,0.421570628881455,2.89250112,13.4765901565552,,49.7949446863337,66.057
GEO,Georgia,3699557,9241.49122313713,9.67979387500691,1.86402941794564,99.6800003051758,0.568925797939301,6.85758877,89.4861221313477,0.26435,46.6135843215364,74.657
DEU,Germany,83516593,56103.7323182554,-0.495851897260366,1.89190377205494,,0.751162469387054,12.26655293,76.7096862792969,3.1539,49.3813487450912,80.7926829268293
GHA,Ghana,34427414,2390.77237652715,5.59045469593266,0.383994182354107,76.4899978637695,0.450056403875351,2.94686937,21.330810546875,,49.9434607548508,65.695
GIB,Gibraltar,39329,,,,,,,,,49.7724325561291,83.63
GRC,Greece,10405134,24626.1481858973,2.0865743380603,3.12797536550149,,0.690006494522095,8.39367008,165.113418579102,1.4943,48.4388200939567,81.8390243902439
GRL,Greenland,56836,58498.9707973609,0.865961986998158,,,,,,,52.5787965616046,70.2734146341463
GRD,Grenada,117207,11705.0902976658,3.96332516398188,,,0.565070509910584,4.65330839,,,50.129258491387,75.367
GUM,Guam,167777,41833.1517132825,5.09986426216793,,,,,,,50.6553341638008,77.422
GTM,Guatemala,18406359,6150.02571438505,3.65186382894819,0.367622067360881,82.1100006103516,0.461270093917847,6.80241346,27.2948879201171,0.00609,49.598027507776,72.746
